dj,adi adda,01,11.1333333,42.8858333
dj,airolaf,05,11.7702778,42.6519444
dj,airoli,02,11.0036111,42.1025
dj,alaili dadda,04,12.4216667,42.8955556
dj,ali sabie,01,11.1558333,42.7125
dj,ambabbo,05,11.7511111,42.8144444
dj,amboua,03,11.5694444,43.1366667
dj,angarou,04,12.3866667,43.3347222
dj,arta,08,11.5222222,42.8419444
dj,assa gaila,05,12.1916667,42.6416667
dj,balho,05,12.0583333,42.1955556
dj,bankouale,05,11.8227778,42.6736111
dj,bissidiro,04,12.645,42.9733333
dj,boulaos,03,11.5833333,43.15
dj,daddato,04,12.3727778,42.7113889
dj,damerdjog,03,11.4855556,43.1872222
dj,danan,01,11.1833333,42.9333333
dj,dicchil,06,11.1086111,42.3738889
dj,digri,01,11.2975,42.8533333
dj,djibouti,03,11.595,43.1480556
dj,dorra,05,12.1494444,42.4775
dj,gaherre,04,12.2869444,43.3555556
dj,galafi,02,11.7158333,41.8361111
dj,goubatto,01,11.4238889,43.0002778
dj,goubeto,01,11.4166667,42.9833333
dj,hayyou,04,11.9630556,43.2905556
dj,holhol,01,11.3102778,42.9294444
dj,kouta bouyya,02,11.0161111,41.9619444
dj,laassa,04,12.3558333,43.1563889
dj,la plaine,03,11.6,43.15
dj,la-waada,03,11.4611111,43.2527778
dj,medeho,04,11.9730556,43.0261111
dj,mouddo,05,12.3,42.4333333
dj,moulhoule,04,12.5916667,43.2
dj,ouea,03,11.5030556,42.8552778
dj,ouea,05,11.6905556,42.6866667
dj,randa,05,11.8469444,42.6605556
dj,sedorre,04,12.3633333,43.1891667
dj,tadjoura,05,11.7852778,42.8844444
dj,teoao,02,11.4383333,42.0572222
dj,yoboki,02,11.5113889,42.1063889